Geo_FIPS,Geo_NAME,Geo_QNAME,SE_T006_001,SE_T006_002,SE_T006_003,SE_T006_004,SE_T006_005
4104399999,Linn County,"Linn County, Oregon",511,592,801,1166,1279
4104599999,Malheur County,"Malheur County, Oregon",443,494,643,906,967
4104799999,Marion County,"Marion County, Oregon",538,569,768,1132,1360
4104999999,Morrow County,"Morrow County, Oregon",415,475,643,821,996
4105199999,Multnomah County,"Multnomah County, Oregon",682,793,944,1391,1672
4105399999,Polk County,"Polk County, Oregon",538,569,768,1132,1360
4105599999,Sherman County,"Sherman County, Oregon",474,620,735,966,1237
4105799999,Tillamook County,"Tillamook County, Oregon",490,618,773,1070,1364
4105999999,Umatilla County,"Umatilla County, Oregon",441,555,741,974,1312
4106199999,Union County,"Union County, Oregon",402,499,675,923,1165
4106399999,Wallowa County,"Wallowa County, Oregon",450,559,698,869,984
4106599999,Wasco County,"Wasco County, Oregon",557,614,776,1136,1261
4106799999,Washington County,"Washington County, Oregon",682,793,944,1391,1672
4106999999,Wheeler County,"Wheeler County, Oregon",415,475,643,801,1082
4107199999,Yamhill County,"Yamhill County, Oregon",682,793,944,1391,1672
4200199999,Adams County,"Adams County, Pennsylvania",609,613,792,1052,1150
4200399999,Allegheny County,"Allegheny County, Pennsylvania",549,630,786,987,1050
4200599999,Armstrong County,"Armstrong County, Pennsylvania",383,475,643,812,885
4200799999,Beaver County,"Beaver County, Pennsylvania",549,630,786,987,1050
4200999999,Bedford County,"Bedford County, Pennsylvania",519,535,643,832,859
4201199999,Berks County,"Berks County, Pennsylvania",529,656,868,1081,1160
4201399999,Blair County,"Blair County, Pennsylvania",515,549,657,865,965
4201599999,Bradford County,"Bradford County, Pennsylvania",480,486,643,862,866
4201799999,Bucks County,"Bucks County, Pennsylvania",814,959,1156,1440,1546
4201999999,Butler County,"Butler County, Pennsylvania",549,630,786,987,1050
4202199999,Cambria County,"Cambria County, Pennsylvania",463,542,643,853,859
4202399999,Cameron County,"Cameron County, Pennsylvania",467,542,643,930,1139
4202599999,Carbon County,"Carbon County, Pennsylvania",670,769,972,1216,1379
4202799999,Centre County,"Centre County, Pennsylvania",660,723,889,1165,1208
4202999999,Chester County,"Chester County, Pennsylvania",814,959,1156,1440,1546
4203199999,Clarion County,"Clarion County, Pennsylvania",467,542,643,803,1021
4203399999,Clearfield County,"Clearfield County, Pennsylvania",454,500,643,861,864
4203599999,Clinton County,"Clinton County, Pennsylvania",518,522,706,917,1146
4203799999,Columbia County,"Columbia County, Pennsylvania",519,522,663,853,1150
4203999999,Crawford County,"Crawford County, Pennsylvania",467,520,643,851,932
4204199999,Cumberland County,"Cumberland County, Pennsylvania",608,678,866,1117,1157
4204399999,Dauphin County,"Dauphin County, Pennsylvania",608,678,866,1117,1157
4204599999,Delaware County,"Delaware County, Pennsylvania",814,959,1156,1440,1546
4204799999,Elk County,"Elk County, Pennsylvania",467,519,643,801,859
4204999999,Erie County,"Erie County, Pennsylvania",438,534,673,841,1004
4205199999,Fayette County,"Fayette County, Pennsylvania",549,630,786,987,1050
4205399999,Forest County,"Forest County, Pennsylvania",536,560,664,978,1176
4205599999,Franklin County,"Franklin County, Pennsylvania",580,674,867,1153,1447
4205799999,Fulton County,"Fulton County, Pennsylvania",467,542,643,804,859
4205999999,Greene County,"Greene County, Pennsylvania",467,526,643,801,859
4206199999,Huntingdon County,"Huntingdon County, Pennsylvania",515,536,643,917,920
4206399999,Indiana County,"Indiana County, Pennsylvania",540,563,668,899,902
4206599999,Jefferson County,"Jefferson County, Pennsylvania",385,528,643,801,884
4206799999,Juniata County,"Juniata County, Pennsylvania",417,532,643,913,916
4206999999,Lackawanna County,"Lackawanna County, Pennsylvania",496,590,735,933,1048
4207199999,Lancaster County,"Lancaster County, Pennsylvania",580,661,845,1089,1129
4207399999,Lawrence County,"Lawrence County, Pennsylvania",390,526,656,853,877
4207599999,Lebanon County,"Lebanon County, Pennsylvania",483,631,812,1044,1152
4207799999,Lehigh County,"Lehigh County, Pennsylvania",670,769,972,1216,1379
4207999999,Luzerne County,"Luzerne County, Pennsylvania",496,590,735,933,1048
4208199999,Lycoming County,"Lycoming County, Pennsylvania",603,681,862,1141,1168
4208399999,McKean County,"McKean County, Pennsylvania",464,515,643,814,859
4208599999,Mercer County,"Mercer County, Pennsylvania",487,525,676,853,903
4208799999,Mifflin County,"Mifflin County, Pennsylvania",498,501,643,808,859
4208999999,Monroe County,"Monroe County, Pennsylvania",614,728,952,1322,1451
4209199999,Montgomery County,"Montgomery County, Pennsylvania",814,959,1156,1440,1546
4209399999,Montour County,"Montour County, Pennsylvania",544,631,748,990,1000
4209599999,Northampton County,"Northampton County, Pennsylvania",670,769,972,1216,1379
4209799999,Northumberland County,"Northumberland County, Pennsylvania",527,537,652,854,972
4209999999,Perry County,"Perry County, Pennsylvania",608,678,866,1117,1157
4210199999,Philadelphia County,"Philadelphia County, Pennsylvania",814,959,1156,1440,1546
4210399999,Pike County,"Pike County, Pennsylvania",892,898,1141,1435,1817
4210599999,Potter County,"Potter County, Pennsylvania",467,542,643,835,1001
4210799999,Schuylkill County,"Schuylkill County, Pennsylvania",383,494,643,882,888
4210999999,Snyder County,"Snyder County, Pennsylvania",529,552,655,845,875
4211199999,Somerset County,"Somerset County, Pennsylvania",450,529,643,801,906
4211399999,Sullivan County,"Sullivan County, Pennsylvania",515,518,643,888,891
4211599999,Susquehanna County,"Susquehanna County, Pennsylvania",538,562,666,872,1018
4211799999,Tioga County,"Tioga County, Pennsylvania",384,542,643,801,978
4211999999,Union County,"Union County, Pennsylvania",506,522,696,954,1094
4212199999,Venango County,"Venango County, Pennsylvania",477,480,643,801,859
4212399999,Warren County,"Warren County, Pennsylvania",519,534,643,808,943
4212599999,Washington County,"Washington County, Pennsylvania",549,630,786,987,1050
4212799999,Wayne County,"Wayne County, Pennsylvania",432,591,701,1033,1036
4212999999,Westmoreland County,"Westmoreland County, Pennsylvania",549,630,786,987,1050
4213199999,Wyoming County,"Wyoming County, Pennsylvania",496,590,735,933,1048
4213399999,York County,"York County, Pennsylvania",492,624,827,1069,1141
4400105140,Barrington town,"Barrington town, Rhode Island",686,773,944,1176,1407
4400109280,Bristol town,"Bristol town, Rhode Island",686,773,944,1176,1407
4400173760,Warren town,"Warren town, Rhode Island",686,773,944,1176,1407
4400318640,Coventry town,"Coventry town, Rhode Island",686,773,944,1176,1407
4400322240,East Greenwich town,"East Greenwich town, Rhode Island",686,773,944,1176,1407
4400374300,Warwick city,"Warwick city, Rhode Island",686,773,944,1176,1407
4400377720,West Greenwich town,"West Greenwich town, Rhode Island",686,773,944,1176,1407
4400378440,West Warwick town,"West Warwick town, Rhode Island",686,773,944,1176,1407
4400536820,Jamestown town,"Jamestown town, Rhode Island",686,773,944,1176,1407
4400542400,Little Compton town,"Little Compton town, Rhode Island",686,773,944,1176,1407
4400545460,Middletown town,"Middletown town, Rhode Island",948,954,1185,1746,2099
4400549960,Newport city,"Newport city, Rhode Island",948,954,1185,1746,2099
4400557880,Portsmouth town,"Portsmouth town, Rhode Island",948,954,1185,1746,2099
4400570880,Tiverton town,"Tiverton town, Rhode Island",686,773,944,1176,1407
4400711800,Burrillville town,"Burrillville town, Rhode Island",686,773,944,1176,1407
4400714140,Central Falls city,"Central Falls city, Rhode Island",686,773,944,1176,1407
4400719180,Cranston city,"Cranston city, Rhode Island",686,773,944,1176,1407
4400720080,Cumberland town,"Cumberland town, Rhode Island",686,773,944,1176,1407
4400722960,East Providence city,"East Providence city, Rhode Island",686,773,944,1176,1407
4400727460,Foster town,"Foster town, Rhode Island",686,773,944,1176,1407
4400730340,Glocester town,"Glocester town, Rhode Island",686,773,944,1176,1407
4400737720,Johnston town,"Johnston town, Rhode Island",686,773,944,1176,1407
4400741500,Lincoln town,"Lincoln town, Rhode Island",686,773,944,1176,1407
4400751760,North Providence town,"North Providence town, Rhode Island",686,773,944,1176,1407
4400752480,North Smithfield town,"North Smithfield town, Rhode Island",686,773,944,1176,1407
4400754640,Pawtucket city,"Pawtucket city, Rhode Island",686,773,944,1176,1407
4400759000,Providence city,"Providence city, Rhode Island",686,773,944,1176,1407
4400764220,Scituate town,"Scituate town, Rhode Island",686,773,944,1176,1407
4400766200,Smithfield town,"Smithfield town, Rhode Island",686,773,944,1176,1407
4400780780,Woonsocket city,"Woonsocket city, Rhode Island",686,773,944,1176,1407
4400914500,Charlestown town,"Charlestown town, Rhode Island",686,773,944,1176,1407
4400925300,Exeter town,"Exeter town, Rhode Island",686,773,944,1176,1407
4400935380,Hopkinton town,"Hopkinton town, Rhode Island",582,724,979,1231,1541
4400948340,Narragansett town,"Narragansett town, Rhode Island",686,773,944,1176,1407
4400950500,New Shoreham town,"New Shoreham town, Rhode Island",582,724,979,1231,1541
