Geo_FIPS,Geo_NAME,Geo_QNAME,SE_T006_001,SE_T006_002,SE_T006_003,SE_T006_004,SE_T006_005
100199999,Autauga County,"Autauga County, Alabama",583,702,830,1047,1425
100399999,Baldwin County,"Baldwin County, Alabama",744,749,916,1251,1566
100599999,Barbour County,"Barbour County, Alabama",477,481,633,789,925
100799999,Bibb County,"Bibb County, Alabama",804,861,986,1291,1425
100999999,Blount County,"Blount County, Alabama",804,861,986,1291,1425
101199999,Bullock County,"Bullock County, Alabama",474,484,612,809,878
101399999,Butler County,"Butler County, Alabama",474,521,612,782,993
101599999,Calhoun County,"Calhoun County, Alabama",468,531,700,910,1072
101799999,Chambers County,"Chambers County, Alabama",486,593,683,887,977
101999999,Cherokee County,"Cherokee County, Alabama",462,465,612,826,829
102199999,Chilton County,"Chilton County, Alabama",594,627,714,1030,1122
102399999,Choctaw County,"Choctaw County, Alabama",466,469,618,770,844
102599999,Clarke County,"Clarke County, Alabama",474,507,612,883,980
102799999,Clay County,"Clay County, Alabama",482,538,612,882,1075
102999999,Cleburne County,"Cleburne County, Alabama",462,465,612,863,1075
103199999,Coffee County,"Coffee County, Alabama",515,541,665,959,1168
103399999,Colbert County,"Colbert County, Alabama",498,565,714,913,1191
103599999,Conecuh County,"Conecuh County, Alabama",474,510,612,874,878
103799999,Coosa County,"Coosa County, Alabama",499,503,662,825,949
103999999,Covington County,"Covington County, Alabama",474,489,612,818,1019
104199999,Crenshaw County,"Crenshaw County, Alabama",462,465,612,763,904
104399999,Cullman County,"Cullman County, Alabama",469,525,645,871,874
104599999,Dale County,"Dale County, Alabama",498,501,612,829,1075
104799999,Dallas County,"Dallas County, Alabama",489,503,618,783,837
104999999,DeKalb County,"DeKalb County, Alabama",462,465,612,818,884
105199999,Elmore County,"Elmore County, Alabama",583,702,830,1047,1425
105399999,Escambia County,"Escambia County, Alabama",474,538,612,815,903
105599999,Etowah County,"Etowah County, Alabama",523,527,693,877,985
105799999,Fayette County,"Fayette County, Alabama",474,538,612,789,878
105999999,Franklin County,"Franklin County, Alabama",474,524,612,775,829
106199999,Geneva County,"Geneva County, Alabama",503,506,666,875,995
